微博昵称,微博正文,是否认证,是否会员,是否有签名,微博数,关注数,粉丝数,分组数,转发数,原创数,参与话题数,@数,互相关注数
青春荏苒岁月静好 女/浙江         ,是得给最需要的人打,0,0,0,3,493,71,1,0,3,0,0,1
ZLi_CCOM,,0,1,1,1439,58,2222,1,1061,378,155,215,5
Ren丶14,不打，要备孕快三十了家里人催得急，但是我老公因为是医生被医院强行打了,0,1,0,242,48,115,1,92,150,22,16,6
Ren丶14,不打，要备孕快三十了家里人催得急，但是我老公因为是医生被医院强行打了,0,1,0,242,48,115,1,96,146,22,16,6
喜欢旗袍的神乐酱,回复:去哪里接种？,0,1,1,1747,315,148,1,1586,161,987,226,0
坦荡前行的蜡头翀,要打的,1,1,1,10495,1143,761,2,6873,3622,728,1634,0
巧克力炒豆豆 女/上海         ,想种不晓得哪里有种,0,0,1,1090,338,158,3,837,253,543,114,3
独欢喜ii,已接种,0,1,1,142,106,88,1,0,142,5,0,26
考研真的太难了 男/四川         ,留给最需要的人先打,0,0,0,28,37,2,1,12,16,7,1,0
我是真的想回家 男/其他         ,回复:哈哈，最喜欢雏田了,0,0,0,133,52,58,1,89,44,78,8,2
刘知瑜的老爸 男/江西         ,我2针早在半个月前都接种完了。,0,0,1,29,45,5,1,28,1,31,5,4
矮油拉链要慢慢往上拉,已经打完了,0,1,1,430,204,226,1,215,215,131,10,61
只想睡个好觉的Zzzz先生 男/福建         ,回复:你打了吗？,0,0,1,339,60,237,1,96,243,99,29,2
紫夜星痕787 男/江苏         ,回复:素质教育普及这么多年了还有人张嘴就喷F？,0,0,1,184,84,128,1,177,7,120,18,0
印度正版莫迪老仙,回复:劳资不想打，关你p事,0,1,1,19,726,22,1,7,12,8,1,1
三年喀什James,回复:两针都打完了,0,1,0,1344,360,232,1,1255,89,114,15,5
随身小WiFi 女/安徽         ,已接种完毕。,0,0,0,31,193,383,1,2,29,7,2,24
阿泽泽泽ez 女/山东         ,回复:那是个体差异性。莫非只有你打了？,0,0,1,280,171,95,1,102,178,171,45,20
kid花想藜 男/广东         ,目前就一线工种，公司统一申请接种,0,0,1,155,428,134,1,146,9,5,10,14
咩里咩气 女/上海         ,没有、又是得过肿瘤、又是常年服用优甲乐、我没这个资格拥有它,0,0,0,821,1089,245,2,385,436,338,189,0
绫小喵 男/福建         ,安慰剂，打了干嘛,0,0,1,792,500,280,1,561,231,63,315,1
古古怪界官方频道,回复:你也就挟着个网线就觉得自己说的都是真理 不打就是脑瘫？直接给别人扣帽子怀疑你是文革穿越来的 真就又红又专,0,1,1,2,174,59,6,0,2,0,0,4
先行者咨询,居然还有这么多没有想法的,1,1,0,52,50,1,1,32,20,28,2,0
只想睡个好觉的Zzzz先生 男/福建         ,回复:你打了吗？,0,0,1,339,60,237,1,96,243,99,29,2
紫夜星痕787 男/江苏         ,回复:素质教育普及这么多年了还有人张嘴就喷F？,0,0,1,184,84,128,1,177,7,120,18,0
印度正版莫迪老仙,回复:劳资不想打，关你p事,0,1,1,19,726,22,1,7,12,8,1,1
三年喀什James,回复:两针都打完了,0,1,0,1344,360,232,1,1254,90,114,15,5
随身小WiFi 女/安徽         ,已接种完毕。,0,0,0,31,193,383,1,2,29,7,2,24
阿泽泽泽ez 女/山东         ,回复:那是个体差异性。莫非只有你打了？,0,0,1,280,171,95,1,102,178,171,45,20
咩里咩气 女/上海         ,没有、又是得过肿瘤、又是常年服用优甲乐、我没这个资格拥有它,0,0,0,821,1089,245,2,385,436,347,191,0
lza最最最最最最爱 女/其他         ,回复:一共要打多少针呀，我对手臂针的恐惧比生我儿子的时候还怕,0,0,0,4,8,1,1,0,4,3,0,0
·捡星星的月亮·,回复 :打过的告诉你，没有任何不适感,0,1,1,222,227,20,1,127,95,57,14,14
敏儿share 女/四川         ,已经接种了第二针 没任何不良反应 很好,0,0,0,25,196,18,1,1,24,4,1,0
稻田里的七里香,每天都在给别人接种,0,1,1,89,181,48,1,58,31,18,4,6
说不悔llldd 女/其他         ,回复:因为有病不能打,0,0,0,136,391,144,1,62,74,75,61,0
灰灰崽·,第二针迟迟打不了,0,1,1,18,90,36,1,4,14,3,1,34
ghdcomau 男/天津         ,都什么时候了，还有弱智选有，是没挨过武汉长生的毒打么，哈哈,0,0,0,24,74,1,1,1,23,1,3,0
灰灰崽·,第二针迟迟打不了,0,1,1,18,90,36,1,4,14,3,1,34
ghdcomau 男/天津         ,都什么时候了，还有弱智选有，是没挨过武汉长生的毒打么，哈哈,0,0,0,24,74,1,1,1,23,1,3,0
淮水竹亭81115 女/其他         ,回复:医院可以,0,0,0,4,98,2,1,2,2,7,1,0
花落_亦相依丶,已接种,0,1,1,108,170,426,1,2,106,8,1,33
太阳中的鸟,回复:我不愿意，因为过敏体质，每个人都有自己的考量,0,1,1,344,186,46,1,208,136,207,38,7
暴躁的隐形人,回复:不让打和愿不愿意有关系？,0,1,1,6,134,98,1,0,6,6,0,4
我是村里最靓的崽崽 女/山东         ,回复:哺乳期不让打……,0,0,1,137,66,47,1,106,31,56,59,0
______未未未未央 女/湖北         ,出境肯定是要打的，坐标武汉。 我身边有第一批试种志愿者，没什么反应。,0,0,0,1512,627,254,1,1070,442,285,272,0
天行者阿纳金闯天涯 男/其他         ,有基础病的人，不能注射疫苗,0,0,0,1029,398,204,1,4,1025,62,965,2
2021的娜年冬天,巴巴羊,0,1,1,238,595,490,1,43,195,30,12,20
